	Neutrophil	RBC	Bcell	Monocyte	CD4.Tcell	CD8.Tcell	Platelet
ENSG00000104921	-0.0310686805610476	-0.0328236604628318	0.00399675248352484	-0.0322762027068506	-0.0327695250550366	-0.0326667317572526	-0.0326372452639682
ENSG00000100721	-0.0305905910787022	-0.0328236604628318	-0.0112731707703089	-0.0327926876667117	-0.0328058582421914	-0.0327695976615141	-0.0327053585097068
ENSG00000240505	-0.0327292834634757	-0.0328217429647813	-0.0268399721426664	-0.0328163447756355	-0.0327750712656888	-0.0328019910398811	-0.0328236604628318
ENSG00000187912	-0.0286866838083984	-0.0328236604628318	-0.019959587566696	-0.0321389997464547	-0.0327762302985758	-0.0327745563829933	-0.0327860525708358
ENSG00000101017	-0.0320447545513131	-0.0328209667081506	-0.0199432304948371	-0.0307031147789679	-0.0326083806343892	-0.0326149166293309	-0.0325143823776575
ENSG00000196735	-0.0308162440974597	-0.0328236604628318	0.0139396705011056	-0.0221996851086135	-0.0301381456645455	-0.0301980489387542	-0.032679590336209
ENSG00000152689	-0.0326965887977999	-0.0326405944162684	-0.0285534209380324	-0.0327971867731818	-0.0325718460930643	-0.032640798777497	-0.0327987866593137
ENSG00000211825	-0.0255380893356333	-0.0328236604628318	-0.0233442966631836	-0.0326539173938995	-0.0325634920618398	-0.0326081802065995	-0.0321163792671436
ENSG00000065923	-0.0324203456529312	-0.0328216250442892	-0.0266185168970788	-0.032539785355325	-0.0320870309634817	-0.0323340458509183	-0.0327996919981119
ENSG00000254087	0.0331004426021016	-0.0328170569529732	0.0363934144424105	0.00236798854127698	-0.0322465787662741	-0.0322159956885062	-0.0309846149997668
ENSG00000233308	-0.0328050637467439	-0.0328236604628318	-0.0307929316853046	-0.0328068509550346	-0.0328236604628318	-0.0328236604628318	-0.0328236604628318
ENSG00000197943	-0.0207671530677784	-0.0328236604628318	-0.0197693763196441	-0.0298954406963175	-0.0326446492441707	-0.0319930592425876	-0.0327851227053744
ENSG00000186265	-0.0317290639709689	-0.0328236604628318	-0.0280466425759081	-0.0328096108606967	-0.0322386510180261	-0.0326601705740756	-0.0328139035407381
ENSG00000167604	-0.029360702533789	-0.0328236604628318	-0.0110425745181641	-0.0179786259127183	-0.030948300244049	-0.0308477509837787	-0.0327108670263712
ENSG00000184293	-0.0324250222083984	-0.0328236604628318	-0.0273487655410152	-0.0324262782288235	-0.0315207020385726	-0.0320765537289921	-0.0328236604628318
ENSG00000105246	-0.0327948560573751	-0.0328236604628318	-0.0309718125948574	-0.0326011701318247	-0.0327926590879472	-0.0328065428723834	-0.0328236604628318
ENSG00000089127	-0.0293011029006041	-0.0328236604628318	-0.0240742455692789	-0.0248754850082902	-0.0321504411984092	-0.0325171009230374	-0.0325951916229875
ENSG00000161405	-0.0279265069415532	-0.0328236604628318	-0.0188681237262235	-0.0327812755778136	-0.0264266841164985	-0.0260562498136375	-0.0327287485277989
ENSG00000124243	-0.0324614641726817	-0.0328218651000257	-0.029132426553255	-0.0327951199890234	-0.0319277726497363	-0.0314526911311448	-0.0328014617387682
ENSG00000137265	-0.0321090138224833	-0.0328236604628318	-0.026272907801568	-0.0325095580799346	-0.0299868191545585	-0.0303082627616462	-0.0327808494443745
