	Adipose.Tissue	Bladder	Brain	Colon	Esophagus	Heart	Kidney	Liver	Lung	Muscle	Nerve	Pancreas	Pituitary	Skin	Small.Intestine	Stomach
ENSG00000170323	1.8837810335291	-0.00963601593086537	-0.087674907859154	-0.0468700731534474	-0.0656976739798864	-0.0470298950360908	-0.0799731448490475	-0.0863103443615017	-0.0483956895759528	-0.053749494904506	0.0416475350447098	-0.0842189658196238	-0.0868347433973041	-0.0438712031021875	-0.0668746283372434	-0.0737445183534957
ENSG00000184811	-0.0610676816224751	-0.0875026231073063	-0.0882730127692741	-0.08779013072679	-0.0881144880590416	-0.088034176059135	-0.0879620488128284	-0.0883007635650707	-0.0882872543222943	-0.0880999603749669	-0.0864646119050119	-0.088252491362209	-0.0882909796534224	-0.087753039087201	-0.0880501741735169	-0.0881396975407067
ENSG00000151365	-0.0499872650323556	-0.0876346917330743	-0.0881356368563379	-0.087661461984798	-0.0872578776498634	-0.087481939265756	-0.0875227817698032	-0.0489763382911391	-0.0882680290879197	-0.0873538044155551	-0.0841806767420225	-0.088003616688796	-0.0882651139519361	-0.0845183799431042	-0.0880547629379984	-0.0881139607529046
ENSG00000079435	0.119004179587205	-0.081847734034636	-0.0811358934748869	-0.0837245600227689	-0.0855533869751485	-0.0843455351127517	-0.0855362825744775	-0.0880457166586786	-0.0868666040565548	-0.0851052658261343	-0.0768984355350121	-0.08752647114603	-0.0853697077889591	-0.082253015533963	-0.0832757207495777	-0.0865053004458196
ENSG00000179914	-0.0092654122817284	-0.0881104846096749	-0.0882781382177229	-0.0732336242976144	-0.0881475029150868	-0.0663020606693817	-0.0878201554725664	-0.0879411408008968	-0.0723397653875137	-0.0881723419660409	-0.0879804188647239	-0.0882154453107564	-0.088147292832529	-0.0882312297758022	-0.074328135524367	-0.0860328772509893
ENSG00000100867	-0.0882635224061695	0.209952098300872	-0.0881080225876134	-0.0882598117864097	-0.0882561235826899	-0.0882988604306125	-0.0880671091883638	-0.0843722974354691	-0.0882014278546668	-0.0882968257807246	-0.0881960465759851	-0.0868686756305051	-0.0873358329888388	-0.0875977737841618	-0.0882637722749539	-0.0874670551124217
ENSG00000226510	-0.0882668177625873	-0.0875018352235913	-0.0882895708734631	-0.0882880511711515	-0.0882505992095339	-0.0883009785434535	-0.0882909126318443	-0.088297897458286	-0.0882669755847706	-0.0883053574061575	-0.0882983740514509	-0.0883010287273973	-0.0882870383224832	-0.0881836834492603	-0.0882912041237004	-0.0883034435961746
ENSG00000100373	-0.088288644072073	-0.0585024842114982	-0.0882558072694429	-0.0882690608780231	-0.0882879176560582	-0.0882917745791365	-0.0882921415397368	-0.0882988762314929	-0.0882642253165107	-0.0860162234882695	-0.0882839793559379	-0.0883033631527495	-0.0880652815187105	-0.0882954547186856	-0.0879646427012714	-0.0882840172642533
ENSG00000131095	-0.0874317748453028	-0.088129494172965	0.722411465154037	-0.0878794221671753	-0.0879936784026056	-0.0873507399733405	-0.0879465291839246	-0.0880783102236846	-0.0877378201428941	-0.0879246509447968	-0.0822068804819166	-0.0880607544355942	-0.0224106493210505	-0.0875347244727606	-0.0880014693298186	-0.0880735280938385
ENSG00000168314	-0.0882227897133916	-0.0882660995746144	0.00564654528190696	-0.0881486819656172	-0.0882600101766007	-0.0882551467192298	-0.0882729136216069	-0.0882799259712217	-0.0881216528148134	-0.0882406772539317	-0.0877174895081453	-0.0882851105144357	-0.0838756955149927	-0.0882112337551031	-0.0882566673885148	-0.0882716679326875
ENSG00000132639	-0.0877313696142461	-0.0881160266872255	0.185383204593893	-0.0869341389645827	-0.0877992255083825	-0.0878338928495423	-0.0879359174374549	-0.0880721225161191	-0.0871943983139176	-0.0881649340908241	-0.0879055356413775	-0.087581103321978	-0.0581301555195656	-0.0874146957309372	-0.0873247800286528	-0.0870657060030351
ENSG00000155980	-0.0882077809915777	-0.0881426462357147	-0.0043952971801892	-0.0873242916731408	-0.0879134277586185	-0.0882124386890225	-0.0881615966771408	-0.0882840575433345	-0.0881837473023183	-0.0882570488690772	-0.0863660667256899	-0.0881835533403865	-0.0793487676245407	-0.0881540785876004	-0.0876568205539582	-0.0880076475821652
ENSG00000184221	-0.0882555199970304	-0.0883057901823091	-0.0483906070761704	-0.0882611186945095	-0.0882767360821955	-0.0882553019213412	-0.0874829268005259	-0.0882787336177876	-0.0879776212318894	-0.0881626269740384	-0.0878568197040837	-0.0882768830834121	-0.0870193584085164	-0.0880976341012984	-0.0882530924077827	-0.0882818620280415
ENSG00000162188	-0.0882057060443371	-0.0881694939461745	-0.0199353153976034	-0.0865566243122337	-0.0879852481293033	-0.0882126958610328	-0.0881971859510267	-0.0882065074429778	-0.088169236293733	-0.0882367776739454	-0.0878309496015188	-0.0882244797541532	-0.0720942248919843	-0.0880527911461607	-0.0873165232558966	-0.0879812673775681
ENSG00000187730	-0.0881818483667968	-0.0882684344791259	-0.0593732504600437	-0.088249232507681	-0.0882202278177692	-0.0882069306893901	-0.0882254997075387	-0.0882695257665767	-0.0879928150743152	-0.0882580968931224	-0.0882229502002101	-0.0882831914940765	-0.0872147250846212	-0.0880327616263735	-0.088243541097791	-0.0882676455632303
